country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
East Asia & Pacific,142.7364178,156.1543802,174.7511877,193.5215895,212.7849017,223.7971918,242.9733455,276.4822422,304.6433676,333.9237364,393.6519161,500.6762268,607.0630737,706.7002816,731.5955668,790.4379468,932.8958636,1132.68996,1286.133829,1336.804778,1288.832976,1254.957091,1294.637693,1380.413265,1585.924466,1936.71492,2473.875197,2651.959263,2754.143915,2863.002607,3064.567088,3313.886936,3635.888607,4097.056284,4304.03502,4175.812443,3658.389288,3621.38829,3832.675423,3917.435547,3872.16767,4052.999308,4557.292974,4986.723972,5273.250204,5642.576506,6152.536828,6505.314418,7321.134289,8121.128863,9087.938687,9688.114311,9906.973724,9780.817284,9832.370914,10135.95244,10976.80051,
Ecuador,380,350,380,430,450,460,470,500,520,510,510,600,830,1090,1280,1360,1550,1820,2110,2460,2390,2110,1890,1820,1770,1640,1510,1360,1370,1480,1600,1670,1820,1970,2080,2180,2160,1780,1550,1550,1730,2110,2550,2880,3100,3310,3860,4060,4390,4870,5390,5810,6110,5970,5810,5860,6120,
"Egypt, Arab Rep.",,,,,,170,180,190,220,240,260,290,300,330,350,370,390,420,490,520,550,560,640,680,740,870,840,780,760,750,750,760,820,920,1020,1130,1210,1310,1420,1430,1360,1290,1230,1230,1320,1530,1840,2120,2370,2560,2840,3030,3230,3360,3460,3040,2800,
Euro area,1093.861698,1195.800425,1317.691234,1455.211981,1594.608479,1729.300031,1882.23527,2066.907463,2256.795489,2481.424286,2891.079943,3710.642723,4599.141776,5309.362574,5633.138653,6049.053588,6872.894045,8524.34463,10228.16381,10127.09861,9173.880712,8177.941352,7949.601827,7958.327673,9182.600768,11731.28718,15244.66085,16346.9773,17625.01417,18865.20237,21175.87483,20845.11782,21385.79254,22523.80855,23794.30115,23779.77904,22741.81933,22331.13605,22119.76989,21203.30068,20688.17912,23319.63397,28325.542,32449.20725,34604.8022,36790.17528,39618.73813,39691.88188,39856.36177,40340.67076,39314.48636,39496.80223,39367.13224,37718.33523,36306.16785,35808.17246,38705.65429,
Spain,500,570,640,730,840,930,1010,1110,1170,1310,1590,2090,2740,3250,3440,3650,4040,5010,6220,6320,5690,4860,4590,4560,5410,7110,9420,10710,12220,13710,15620,15030,14490,14840,15580,15830,15460,15480,15790,15540,15580,18060,22120,25930,27970,29920,32450,32770,32130,31150,29760,29400,29300,28460,27620,27150,29450,
European Union,,,,,,,,,1952.375375,2152.456019,2504.552527,3183.228506,3877.29601,4459.807993,4709.933785,5031.309544,5707.139678,7085.178875,8532.759046,8592.5585,7900.24369,7075.119405,6833.253836,6825.942765,7841.353992,9960.236567,12865.16649,13796.66935,14841.78593,15817.39903,17713.65815,17464.00633,17951.43962,18730.16069,19923.08034,20285.68099,19777.25831,19677.2963,19732.48622,19100.4253,18859.17485,21236.15756,25668.31107,29461.15476,31501.51868,33638.01896,36155.29194,35704.32089,35570.3149,35895.73732,35377.27017,35764.89209,35946.48253,34721.23606,33458.78817,32898.04108,35308.67382,
Finland,1370,1470,1620,1810,1970,2060,2090,2270,2470,2690,3170,4030,5130,6320,6840,7190,7910,9540,11450,11980,11700,10840,10790,11130,13010,16480,21540,24110,26000,25090,24170,20680,20170,22030,24970,26650,25790,26040,26420,25780,25510,28680,35200,40100,42740,46040,49920,48590,49330,49910,48670,49220,48990,46800,45590,44490,47750,
Fiji,280,290,300,290,300,340,350,350,400,440,530,720,930,1120,1220,1300,1360,1660,1870,2040,1800,1580,1660,1580,1790,1770,1790,1790,1790,1790,1990,2090,2230,2460,2660,2580,2300,2360,2240,2140,2170,2420,3040,3590,3620,3820,4010,3860,3650,3780,4140,4710,5020,5200,5360,5430,5860,
France,1570,1710,1880,2050,2220,2380,2570,2820,2990,3230,3670,4690,5790,6720,7140,7810,8830,10820,13080,13190,12040,10450,9820,9770,11330,14460,18520,19490,20640,21420,23840,23580,24380,25740,27110,26930,25830,25420,24970,23840,23090,25930,31360,35870,37850,40130,43460,43930,43850,44350,43380,43780,43320,41080,38900,38310,41080,
Gabon,330,410,340,360,420,440,460,530,570,610,690,910,1700,2870,4450,4010,3090,3520,4590,5290,4840,4260,4310,3860,3840,3430,4150,4580,4820,5170,5120,4430,4130,3910,4100,4270,3940,3280,3090,3420,3600,3870,4300,5510,5740,6580,7310,7570,7830,8100,9080,9330,9320,7970,7080,6500,6800,
