country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,year_2018
Jamaica,100,200,200,500,500,500,500,500,500,500,520,540,550,560,570,530,500,500,500,500,500,500,500,500,500,500,500,500,500
Kazakhstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,500,500,500
Kenya,45000,62000,81000,100000,120000,140000,160000,180000,200000,210000,220000,230000,240000,250000,250000,250000,250000,240000,230000,220000,210000,190000,180000,170000,160000,150000,140000,130000,120000
Kyrgyz Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500
Cambodia,100,100,100,200,500,710,1100,1600,2100,2500,2900,3300,3600,3800,4000,4200,4300,4400,4600,4700,4700,4600,4500,4400,4200,4000,3700,3500,3300
Lao PDR,100,100,100,100,100,100,100,100,100,100,100,200,200,500,500,500,500,500,500,500,550,590,630,660,680,700,710,710,700
Liberia,1000,1400,1700,1900,2200,2600,3000,3400,3900,4500,4900,5200,5400,5500,5600,5700,5700,5700,5700,5600,5500,5300,5100,5000,4800,4600,4300,4000,3700
Libya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500
Lesotho,1000,1500,2100,2900,3800,4800,6000,7300,8600,9900,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,14000,14000,13000,13000,12000,12000
Morocco,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,510,530,550,560
Moldova,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Madagascar,100,100,100,100,200,200,500,500,500,500,590,700,800,900,990,1100,1200,1200,1300,1400,1400,1400,1500,1500,1600,1700,1700,1800,1900
Mexico,520,640,770,900,1000,1200,1400,1500,1600,1800,1900,2000,2100,2200,2300,2400,2400,2500,2500,2600,2600,2700,2600,2600,2600,2500,2500,2400,2300
Mali,3700,4800,5900,7200,8600,9900,11000,12000,13000,14000,15000,16000,17000,18000,18000,18000,19000,19000,19000,18000,18000,18000,18000,18000,18000,18000,19000,19000,19000
Myanmar,100,200,500,500,690,930,1200,1500,1900,2400,2900,3500,4200,4800,5500,6100,6700,7100,7600,7900,8200,8400,8800,9100,9400,9600,9800,9900,9800
Mozambique,5300,7500,11000,15000,20000,25000,32000,39000,47000,56000,65000,74000,82000,91000,99000,110000,110000,120000,120000,130000,130000,140000,140000,140000,140000,140000,140000,140000,140000
Mauritania,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Mauritius,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,100
Malawi,28000,35000,42000,48000,55000,62000,70000,77000,84000,91000,97000,100000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,100000,97000,94000,90000,85000,79000,74000
Malaysia,100,100,200,200,500,500,500,500,500,500,520,560,610,650,680,710,740,750,750,740,730,720,690,660,620,570,520,500,500
Namibia,650,970,1400,2000,2700,3600,4600,5600,6700,7700,8800,9700,11000,11000,12000,12000,12000,13000,13000,13000,13000,14000,14000,14000,13000,13000,13000,12000,11000
Niger,530,690,900,1100,1400,1700,2000,2300,2600,2900,3200,3500,3700,3900,4100,4200,4300,4300,4200,4100,3800,3600,3400,3200,3000,2900,2600,2600,2500
Nigeria,22000,28000,36000,45000,54000,63000,73000,83000,93000,100000,110000,120000,130000,130000,140000,140000,150000,150000,150000,150000,150000,150000,150000,150000,140000,140000,140000,140000,140000
Nicaragua,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Nepal,100,100,100,100,100,100,100,100,200,200,500,500,560,690,820,960,1100,1200,1300,1400,1400,1500,1500,1600,1600,1500,1500,1400,1400
Pakistan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,500,730,1000,1400,1800,2100,2600,3000,3500,4000,4500,5000,5500
Panama,100,100,100,100,100,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Peru,660,900,1200,1400,1700,1900,2100,2300,2400,2600,2600,2700,2700,2600,2600,2500,2400,2300,2100,2000,1900,1800,1800,1700,1700,1600,1600,1600,1600
Philippines,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,500,500
Papua New Guinea,100,100,200,200,500,500,500,650,830,1000,1300,1600,2000,2300,2600,2900,3100,3200,3300,3400,3400,3500,3500,3500,3400,3400,3300,3100,2900
